age,rate_set,retire_type,retire_rate
52,before_2011,early,0.0
53,before_2011,early,0.0
54,before_2011,early,0.0
55,before_2011,early,0.0
56,before_2011,early,0.0
57,before_2011,early,0.0
58,before_2011,early,0.03
59,before_2011,early,0.03
60,before_2011,early,0.03
61,before_2011,early,0.03
62,before_2011,early,0.03
63,before_2011,early,0.05
64,before_2011,early,0.05
65,before_2011,early,0.05
66,before_2011,early,0.05
67,before_2011,early,0.12
68,before_2011,early,0.12
69,before_2011,early,0.12
70,before_2011,early,0.12
71,before_2011,early,0.12
72,before_2011,early,0.12
73,before_2011,early,0.12
74,before_2011,early,0.12
75,before_2011,early,0.12
76,before_2011,early,0.12
77,before_2011,early,0.12
78,before_2011,early,0.12
79,before_2011,early,0.12
80,before_2011,early,1.0
45,before_2011,normal,0.05
46,before_2011,normal,0.05
47,before_2011,normal,0.05
48,before_2011,normal,0.19
49,before_2011,normal,0.19
50,before_2011,normal,0.19
51,before_2011,normal,0.19
52,before_2011,normal,0.19
53,before_2011,normal,0.19
54,before_2011,normal,0.19
55,before_2011,normal,0.19
56,before_2011,normal,0.19
57,before_2011,normal,0.5800000000000001
58,before_2011,normal,0.5800000000000001
59,before_2011,normal,0.5800000000000001
60,before_2011,normal,0.5800000000000001
61,before_2011,normal,0.5800000000000001
62,before_2011,normal,0.4599999999999999
63,before_2011,normal,0.06
64,before_2011,normal,0.06
65,before_2011,normal,0.06
66,before_2011,normal,0.06
67,before_2011,normal,0.06
68,before_2011,normal,0.06
69,before_2011,normal,0.06
70,before_2011,normal,0.06
71,before_2011,normal,0.06
72,before_2011,normal,0.06
73,before_2011,normal,0.06
74,before_2011,normal,0.06
75,before_2011,normal,0.06
76,before_2011,normal,0.06
77,before_2011,normal,0.06
78,before_2011,normal,0.06
79,before_2011,normal,0.06
80,before_2011,normal,1.0
55,2011_or_later,early,0.0
56,2011_or_later,early,0.0
57,2011_or_later,early,0.0
58,2011_or_later,early,0.0
59,2011_or_later,early,0.0
60,2011_or_later,early,0.0
61,2011_or_later,early,0.03
62,2011_or_later,early,0.03
63,2011_or_later,early,0.03
64,2011_or_later,early,0.03
65,2011_or_later,early,0.03
66,2011_or_later,early,0.05
67,2011_or_later,early,0.12
68,2011_or_later,early,0.12
69,2011_or_later,early,0.12
70,2011_or_later,early,0.12
71,2011_or_later,early,0.12
72,2011_or_later,early,0.12
73,2011_or_later,early,0.12
74,2011_or_later,early,0.12
75,2011_or_later,early,0.12
76,2011_or_later,early,0.12
77,2011_or_later,early,0.12
78,2011_or_later,early,0.12
79,2011_or_later,early,0.12
80,2011_or_later,early,1.0
45,2011_or_later,normal,0.05
46,2011_or_later,normal,0.05
47,2011_or_later,normal,0.05
48,2011_or_later,normal,0.16
49,2011_or_later,normal,0.16
50,2011_or_later,normal,0.19
51,2011_or_later,normal,0.19
52,2011_or_later,normal,0.19
53,2011_or_later,normal,0.19
54,2011_or_later,normal,0.19
55,2011_or_later,normal,0.19
56,2011_or_later,normal,0.19
57,2011_or_later,normal,0.19
58,2011_or_later,normal,0.19
59,2011_or_later,normal,0.19
60,2011_or_later,normal,0.5800000000000001
61,2011_or_later,normal,0.53
62,2011_or_later,normal,0.48
63,2011_or_later,normal,0.43
64,2011_or_later,normal,0.38
65,2011_or_later,normal,0.3299999999999999
66,2011_or_later,normal,0.06
67,2011_or_later,normal,0.06
68,2011_or_later,normal,0.06
69,2011_or_later,normal,0.06
70,2011_or_later,normal,0.06
71,2011_or_later,normal,0.06
72,2011_or_later,normal,0.06
73,2011_or_later,normal,0.06
74,2011_or_later,normal,0.06
75,2011_or_later,normal,0.06
76,2011_or_later,normal,0.06
77,2011_or_later,normal,0.06
78,2011_or_later,normal,0.06
79,2011_or_later,normal,0.06
80,2011_or_later,normal,1.0
